smoothing_window,threshold,min_duration,min_peak_probability,true_positive_events,false_positive_events,false_negative_events,total_gt_events,total_predicted_events,precision,recall,f1,balanced_accuracy,mcc,cohen_kappa,alarm_rate,suppression_rate,total_events_before_suppression,suppressed_events,retained_events
3,0.06,15,0.9,12,82,11,23,94,0.12766,0.521739,0.205128,,,,94,0.987,7213,7119,94
3,0.06,15,0.95,12,60,11,23,72,0.166667,0.521739,0.252632,,,,72,0.99,7213,7141,72
3,0.06,15,0.99,12,60,11,23,72,0.166667,0.521739,0.252632,,,,72,0.99,7213,7141,72
3,0.07,1,0.5,14,452,9,23,466,0.030043,0.608696,0.05726,,,,466,0.935,7173,6707,466
3,0.07,1,0.55,14,347,9,23,361,0.038781,0.608696,0.072917,,,,361,0.9497,7173,6812,361
3,0.07,1,0.6,14,275,9,23,289,0.048443,0.608696,0.089744,,,,289,0.9597,7173,6884,289
3,0.07,1,0.65,14,216,9,23,230,0.06087,0.608696,0.110672,,,,230,0.9679,7173,6943,230
3,0.07,1,0.7,12,167,11,23,179,0.067039,0.521739,0.118812,,,,179,0.975,7173,6994,179
3,0.07,1,0.75,12,140,11,23,152,0.078947,0.521739,0.137143,,,,152,0.9788,7173,7021,152
3,0.07,1,0.8,12,119,11,23,131,0.091603,0.521739,0.155844,,,,131,0.9817,7173,7042,131
3,0.07,1,0.85,12,101,11,23,113,0.106195,0.521739,0.176471,,,,113,0.9842,7173,7060,113
3,0.07,1,0.9,12,87,11,23,99,0.121212,0.521739,0.196721,,,,99,0.9862,7173,7074,99
3,0.07,1,0.95,12,64,11,23,76,0.157895,0.521739,0.242424,,,,76,0.9894,7173,7097,76
3,0.07,1,0.99,12,64,11,23,76,0.157895,0.521739,0.242424,,,,76,0.9894,7173,7097,76
3,0.07,2,0.5,14,452,9,23,466,0.030043,0.608696,0.05726,,,,466,0.935,7173,6707,466
3,0.07,2,0.55,14,347,9,23,361,0.038781,0.608696,0.072917,,,,361,0.9497,7173,6812,361
3,0.07,2,0.6,14,275,9,23,289,0.048443,0.608696,0.089744,,,,289,0.9597,7173,6884,289
3,0.07,2,0.65,14,216,9,23,230,0.06087,0.608696,0.110672,,,,230,0.9679,7173,6943,230
3,0.07,2,0.7,12,167,11,23,179,0.067039,0.521739,0.118812,,,,179,0.975,7173,6994,179
3,0.07,2,0.75,12,140,11,23,152,0.078947,0.521739,0.137143,,,,152,0.9788,7173,7021,152
3,0.07,2,0.8,12,119,11,23,131,0.091603,0.521739,0.155844,,,,131,0.9817,7173,7042,131
3,0.07,2,0.85,12,101,11,23,113,0.106195,0.521739,0.176471,,,,113,0.9842,7173,7060,113
