feature,generalization_score,stability_score,patient_consistency_score
wavelet_energy_5_mean_stability_5,0.677511,0.805719,0.7416149999999999
wavelet_energy_5_max_stability_5,0.655689,0.809065,0.7323770000000001
petrosian_fd_std_lag3,0.57978,0.811056,0.695418
sample_entropy_mean_stability_5,0.937029,0.8117300000000001,0.8743795000000001
sample_entropy_std_stability_5,0.921133,0.8187139999999999,0.8699235
mean_mean_stability_5,0.934365,0.820121,0.877243
delta_relative_mean_stability_5,0.871055,0.823467,0.847261
wavelet_energy_5_std_stability_5,0.66795,0.82575,0.74685
gamma_relative_max_stability_5,0.753453,0.825893,0.7896730000000001
theta_relative_std,0.745671,0.827914,0.7867925
theta_relative_std_lag1,0.745656,0.831073,0.7883644999999999
mean_max_stability_5,0.97049,0.838102,0.904296
petrosian_fd_std_rolling_mean_5,0.557527,0.838334,0.6979305
theta_relative_std_stability_5,0.964381,0.838626,0.9015035
line_length_max_stability_5,0.768037,0.839262,0.8036494999999999
delta_relative_std_stability_5,0.867947,0.840325,0.854136
theta_relative_max_stability_5,0.972432,0.840976,0.906704
iqr_std_stability_5,0.947308,0.842256,0.894782
sample_entropy_mean,0.775428,0.842481,0.8089545
std_mean_stability_5,0.942711,0.8475630000000001,0.8951370000000001
rms_mean_stability_5,0.9425479999999999,0.8475630000000001,0.8950555
theta_relative_std_lag3,0.745546,0.848873,0.7972095
beta_relative_std_rolling_mean_5,0.6412439999999999,0.849203,0.7452235
zero_crossings_mean_rolling_mean_5,0.756742,0.8496440000000001,0.803193
zero_crossings_mean_lag3,0.762981,0.849682,0.8063315
sample_entropy_mean_rolling_mean_5,0.766852,0.850326,0.808589
sample_entropy_mean_lag1,0.775433,0.851321,0.813377
sample_entropy_max_stability_5,0.837709,0.854009,0.845859
petrosian_fd_std_lag1,0.57978,0.854967,0.7173735
beta_relative_max_stability_5,0.8127880000000001,0.855723,0.8342555
zero_crossings_max_stability_5,0.847111,0.857459,0.852285
mean_mean,0.961489,0.85865,0.9100695000000001
petrosian_fd_max,0.7452540000000001,0.860259,0.8027565000000001
mean_mean_lag1,0.961462,0.860641,0.9110515
zero_crossings_mean_lag1,0.7629710000000001,0.862175,0.812573
petrosian_fd_max_rolling_mean_5,0.733708,0.862475,0.7980915
mad_std_stability_5,0.950495,0.863665,0.90708
beta_relative_std_lag3,0.649652,0.8704540000000001,0.7600530000000001
higuchi_fd_max_stability_5,0.923903,0.870933,0.897418
petrosian_fd_max_lag1,0.745289,0.8710910000000001,0.80819
std_max_stability_5,0.938505,0.871435,0.90497
zero_crossings_mean,0.762941,0.873591,0.8182659999999999
alpha_relative_std_stability_5,0.845343,0.876084,0.8607134999999999
petrosian_fd_std,0.579769,0.877094,0.7284315
perm_entropy_max,0.7495970000000001,0.877356,0.8134765
mean_mean_lag3,0.961524,0.878322,0.919923
alpha_relative_mean_stability_5,0.901784,0.881219,0.8915015
line_length_std_stability_5,0.797395,0.881286,0.8393405
zero_crossings_max,0.683546,0.884692,0.784119
rms_max_stability_5,0.93856,0.88812,0.91334
perm_entropy_max_lag1,0.74961,0.888188,0.818899
gamma_relative_max_rolling_mean_5,0.679234,0.888315,0.7837745
zero_crossings_max_lag1,0.683554,0.888966,0.78626
