feature,mean_rank,rank_std,mean_importance,importance_std,top_20_frequency
theta_power_mean__rel,155.2,28.624465060503752,0.00262629,0.0006683414,0.0
wavelet_energy_3_mean_lag1__rel,155.8,34.631777315061385,0.0025059495,0.0009261746,0.0
mean_std_lag1__rel,156.0,30.278705388440898,0.0025772224,0.0007993066,0.0
beta_power_mean_lag3__rel,157.4,69.64940775053296,0.0025760322,0.0028548033,0.0
beta_relative_mean__rel,158.2,41.17474954386486,0.0024707043,0.0011152622,0.0
delta_relative_max__rel,159.0,46.26013402488151,0.0024134307,0.0011967691,0.0
ptp_max_lag1__rel,159.4,33.921084888310986,0.0024085387,0.0009649565,0.0
perm_entropy_std_lag1,159.6,22.204504047602594,0.0025179088,0.00038449172,0.0
gamma_relative_mean__rel,160.4,43.22776885290288,0.0023020045,0.0014377903,0.0
rms_max_lag3__rel,165.2,52.63990881451069,0.001976495,0.0017997135,0.0
sample_entropy_mean_lag3__rel,166.0,30.665942020423895,0.0022574225,0.0007978906,0.0
petrosian_fd_max_rolling_mean_5__rel,166.2,22.33741256278354,0.002280224,0.0005103312,0.0
theta_relative_max_rolling_mean_5,166.8,13.196969349058897,0.002323414,0.00027456012,0.0
sample_entropy_mean_lag1__rel,167.0,28.340783334269364,0.0022624494,0.00069945713,0.0
rms_mean_lag3__rel,168.8,57.74911254729375,0.0019396864,0.0017466663,0.0
variance_mean_lag3__rel,169.0,33.6392627743237,0.002102478,0.0010320487,0.0
zero_crossings_mean__rel,169.0,46.190908196310666,0.0021772808,0.0012185911,0.0
beta_relative_max_rolling_mean_5__rel,169.0,46.17791680013294,0.001929289,0.0015486489,0.0
sample_entropy_max_lag1,170.2,30.340731698494025,0.0021240872,0.00086118036,0.0
beta_power_mean__rel,172.0,32.2490309931942,0.0020484454,0.0008476577,0.0
alpha_power_max__rel,172.2,22.05810508633958,0.0019797185,0.0008263133,0.0
mean_mean_lag3__rel,174.4,29.014479144041168,0.0021215945,0.000691008,0.0
