threshold,precision,recall,specificity,f1,balanced_accuracy,mcc,kappa
0.85,0.8947368421052632,0.1274812527569475,0.9998994252448552,0.22316602316602316,0.5636903390009014,0.33649833867851664,0.2218731912192592
0.86,0.9317269076305221,0.1023378914865461,0.9999497126224276,0.18441971383147854,0.5511438020544869,0.3077206959066306,0.18334295768253472
0.87,0.9588235294117647,0.07190119100132333,0.9999792934327643,0.13377102995486254,0.5359402422170438,0.2616793606940634,0.1329652455884297
0.88,0.0,0.0,1.0,0.0,0.5,0.0,0.0
0.89,0.0,0.0,1.0,0.0,0.5,0.0,0.0
0.9,0.0,0.0,1.0,0.0,0.5,0.0,0.0
0.91,0.0,0.0,1.0,0.0,0.5,0.0,0.0
0.92,0.0,0.0,1.0,0.0,0.5,0.0,0.0
0.93,0.0,0.0,1.0,0.0,0.5,0.0,0.0
0.9400000000000001,0.0,0.0,1.0,0.0,0.5,0.0,0.0
0.9500000000000001,0.0,0.0,1.0,0.0,0.5,0.0,0.0
0.9600000000000001,0.0,0.0,1.0,0.0,0.5,0.0,0.0
0.97,0.0,0.0,1.0,0.0,0.5,0.0,0.0
0.98,0.0,0.0,1.0,0.0,0.5,0.0,0.0
0.99,0.0,0.0,1.0,0.0,0.5,0.0,0.0
